Nb Measures, Network, Serialisation, Compression, Measured time [ms], Received size [B], Payload size [B], Compression rate
3, 2G, JSON, None, 210, 468, 468, 0%
3, 2G, JSON, None, 218, 464, 464, 0%
3, 2G, JSON, None, 140, 465, 465, 0%
3, 2G, JSON, Deflate, 113, 213, 465, 54.2%
3, 2G, JSON, Deflate, 108, 213, 465, 54.2%
3, 2G, JSON, Deflate, 98, 172, 424, 59.4%
10, 2G, JSON, None, 292, 1475, 1475, 0%
10, 2G, JSON, None, 284, 1468, 1468, 0%
10, 2G, JSON, None, 267, 1468, 1468, 0%
10, 2G, JSON, Deflate, 118, 270, 1468, 81.6%
10, 2G, JSON, Deflate, 140, 270, 1468, 81.6%
10, 2G, JSON, Deflate, 115, 270, 1468, 81.6%
3, 2G, XML, None, 256, 564, 564, 0%
3, 2G, XML, None, 169, 561, 561, 0%
3, 2G, XML, None, 175, 561, 561, 0%
3, 2G, XML, Deflate, 121, 253, 561, 54.9%
3, 2G, XML, Deflate, 132, 253, 561, 54.9%
3, 2G, XML, Deflate, 143, 253, 561, 54.9%
10, 2G, XML, None, 362, 1502, 1502, 0%
10, 2G, XML, None, 316, 1502, 1502, 0%
10, 2G, XML, None, 318, 1502, 1502, 0%
10, 2G, XML, Deflate, 141, 336, 1502, 77.6%
10, 2G, XML, Deflate, 136, 336, 1502, 77.6%
10, 2G, XML, Deflate, 144, 336, 1502, 77.6%
3, 2G, Protobuf, None, 126, 94, 94, 0%
3, 2G, Protobuf, None, 86, 94, 94, 0%
3, 2G, Protobuf, None, 88, 94, 94, 0%
3, 2G, Protobuf, Deflate, 79, 72, 94, 23.4%
3, 2G, Protobuf, Deflate, 49, 72, 94, 23.4%
3, 2G, Protobuf, Deflate, 88, 72, 94, 23.4%
10, 2G, Protobuf, None, 111, 323, 323, 0%
10, 2G, Protobuf, None, 121, 337, 337, 0%
10, 2G, Protobuf, None, 115, 337, 337, 0%
10, 2G, Protobuf, Deflate, 94, 178, 337, 47%
10, 2G, Protobuf, Deflate, 115, 178, 337, 47%
10, 2G, Protobuf, Deflate, 98, 178, 337, 47%
10, 3G, JSON, None, 124, 1461, 1461, 0%
10, 3G, JSON, Deflate, 96, 283, 1461, 80.2%
10, 3G, XML, None, 95, 1493, 1493, 0%
10, 3G, XML, Deflate, 86, 353, 1493, 76%
10, 3G, Protobuf, None, 69, 337, 337, 0%
10, 3G, Protobuf, Deflate, 68, 178, 337, 47%
3, 3G, JSON, None, 35, 433, 433, 0%
3, 3G, JSON, Deflate, 83, 148, 433, 65%
3, 3G, XML, None, 77, 533, 533, 0%
3, 3G, XML, Deflate, 80, 213, 533, 60%
3, 3G, Protobuf, None, 64, 105, 105, 0%
3, 3G, Protobuf, Deflate, 74, 53, 105, 49.5%
10, 4G, JSON, None, 42, 1461, 1461, 0%
10, 4G, JSON, Deflate, 75, 283, 1461, 80.2%
10, 4G, XML, None, 94, 1493, 1493, 0%
10, 4G, XML, Deflate, 89, 353, 1493, 76%
10, 4G, Protobuf, None, 58, 337, 337, 0%
10, 4G, Protobuf, Deflate, 74, 178, 337, 47%
3, 4G, JSON, None, 105, 433, 433, 0%
3, 4G, JSON, Deflate, 76, 148, 433, 65%
3, 4G, XML, None, 78, 533, 533, 0%
3, 4G, XML, Deflate, 72, 213, 533, 60%
3, 4G, Protobuf, None, 34, 105, 105, 0%
3, 4G, Protobuf, Deflate, 33, 53, 105, 49.5%
10, 5G, JSON, None, 69, 1461, 1461, 0%
10, 5G, JSON, Deflate, 73, 283, 1461, 80.2%
10, 5G, XML, None, 78, 1493, 1493, 0%
10, 5G, XML, Deflate, 74, 353, 1493, 76%
10, 5G, Protobuf, None, 64, 337, 337, 0%
10, 5G, Protobuf, Deflate, 63, 178, 337, 47%
3, 5G, JSON, None, 36, 433, 433, 0%
3, 5G, JSON, Deflate, 30, 148, 433, 65%
3, 5G, XML, None, 53, 533, 533, 0%
3, 5G, XML, Deflate, 71, 213, 533, 60%
3, 5G, Protobuf, None, 30, 105, 105, 0%
3, 5G, Protobuf, Deflate, 39, 53, 105, 49.5%
